"FID","GroupName","SubGroupName","FocalColor","FocalColorCode","AttackedColor","FocalAttackedYN","FocalPalatability","FocalPalatabilityTreatment","PriorExposureYN","PriorExposure","PalatExpo"
18354,"Water","GreenDB","Brown",2,"Green",0,1,"Control",0,"Naive","ControlNaive"
18354,"Water","GreenDB","Green",1,"Green",1,0,"DB",0,"Naive","DBNaive"
18356,"Water","BrownDB","Brown",2,"Green",0,0,"DB",0,"Naive","DBNaive"
18356,"Water","BrownDB","Green",1,"Green",1,1,"Control",0,"Naive","ControlNaive"
18358,"DB","GreenDB","Brown",2,"Green",0,1,"Control",1,"Trained","ControlTrained"
18358,"DB","GreenDB","Green",1,"Green",1,0,"DB",1,"Trained","DBTrained"
18375,"DB","BrownDB","Brown",2,"Brown",1,0,"DB",1,"Trained","DBTrained"
18375,"DB","BrownDB","Green",1,"Brown",0,1,"Control",1,"Trained","ControlTrained"
18400,"Water","BrownDB","Brown",2,"Green",0,0,"DB",0,"Naive","DBNaive"
18400,"Water","BrownDB","Green",1,"Green",1,1,"Control",0,"Naive","ControlNaive"
18410,"DB","GreenDB","Brown",2,"Green",0,1,"Control",1,"Trained","ControlTrained"
18410,"DB","GreenDB","Green",1,"Green",1,0,"DB",1,"Trained","DBTrained"
18412,"DB","BrownDB","Brown",2,"Brown",1,0,"DB",1,"Trained","DBTrained"
18412,"DB","BrownDB","Green",1,"Brown",0,1,"Control",1,"Trained","ControlTrained"
18414,"Water","GreenDB","Brown",2,"Green",0,1,"Control",0,"Naive","ControlNaive"
18414,"Water","GreenDB","Green",1,"Green",1,0,"DB",0,"Naive","DBNaive"
18416,"Water","BrownDB","Brown",2,"Green",0,0,"DB",0,"Naive","DBNaive"
18416,"Water","BrownDB","Green",1,"Green",1,1,"Control",0,"Naive","ControlNaive"
18442,"DB","GreenDB","Brown",2,"Green",0,1,"Control",1,"Trained","ControlTrained"
18442,"DB","GreenDB","Green",1,"Green",1,0,"DB",1,"Trained","DBTrained"
18444,"DB","BrownDB","Brown",2,"Brown",1,0,"DB",1,"Trained","DBTrained"
18444,"DB","BrownDB","Green",1,"Brown",0,1,"Control",1,"Trained","ControlTrained"
18453,"Water","GreenDB","Brown",2,"Green",0,1,"Control",0,"Naive","ControlNaive"
18453,"Water","GreenDB","Green",1,"Green",1,0,"DB",0,"Naive","DBNaive"
18455,"Water","BrownDB","Brown",2,"Green",0,0,"DB",0,"Naive","DBNaive"
18455,"Water","BrownDB","Green",1,"Green",1,1,"Control",0,"Naive","ControlNaive"
18461,"DB","GreenDB","Brown",2,"Brown",1,1,"Control",1,"Trained","ControlTrained"
18461,"DB","GreenDB","Green",1,"Brown",0,0,"DB",1,"Trained","DBTrained"
18468,"DB","BrownDB","Brown",2,"Brown",1,0,"DB",1,"Trained","DBTrained"
18468,"DB","BrownDB","Green",1,"Brown",0,1,"Control",1,"Trained","ControlTrained"
18470,"Water","GreenDB","Brown",2,"Green",0,1,"Control",0,"Naive","ControlNaive"
18470,"Water","GreenDB","Green",1,"Green",1,0,"DB",0,"Naive","DBNaive"
18473,"DB","GreenDB","Brown",2,"Brown",1,1,"Control",1,"Trained","ControlTrained"
18473,"DB","GreenDB","Green",1,"Brown",0,0,"DB",1,"Trained","DBTrained"
18479,"Water","BrownDB","Brown",2,"Brown",1,0,"DB",0,"Naive","DBNaive"
18479,"Water","BrownDB","Green",1,"Brown",0,1,"Control",0,"Naive","ControlNaive"
18489,"DB","BrownDB","Brown",2,"Green",0,0,"DB",1,"Trained","DBTrained"
18489,"DB","BrownDB","Green",1,"Green",1,1,"Control",1,"Trained","ControlTrained"
18500,"Water","GreenDB","Brown",2,"Green",0,1,"Control",0,"Naive","ControlNaive"
18500,"Water","GreenDB","Green",1,"Green",1,0,"DB",0,"Naive","DBNaive"
18502,"Water","BrownDB","Brown",2,"Brown",1,0,"DB",0,"Naive","DBNaive"
18502,"Water","BrownDB","Green",1,"Brown",0,1,"Control",0,"Naive","ControlNaive"
18504,"DB","GreenDB","Brown",2,"Green",0,1,"Control",1,"Trained","ControlTrained"
18504,"DB","GreenDB","Green",1,"Green",1,0,"DB",1,"Trained","DBTrained"
18507,"DB","BrownDB","Brown",2,"Green",0,0,"DB",1,"Trained","DBTrained"
18507,"DB","BrownDB","Green",1,"Green",1,1,"Control",1,"Trained","ControlTrained"
18511,"Water","GreenDB","Brown",2,"Brown",1,1,"Control",0,"Naive","ControlNaive"
18511,"Water","GreenDB","Green",1,"Brown",0,0,"DB",0,"Naive","DBNaive"
18515,"Water","BrownDB","Brown",2,"Brown",1,0,"DB",0,"Naive","DBNaive"
18515,"Water","BrownDB","Green",1,"Brown",0,1,"Control",0,"Naive","ControlNaive"
18517,"DB","GreenDB","Brown",2,"Green",0,1,"Control",1,"Trained","ControlTrained"
18517,"DB","GreenDB","Green",1,"Green",1,0,"DB",1,"Trained","DBTrained"
18519,"DB","BrownDB","Brown",2,"Brown",1,0,"DB",1,"Trained","DBTrained"
18519,"DB","BrownDB","Green",1,"Brown",0,1,"Control",1,"Trained","ControlTrained"
18523,"Water","GreenDB","Brown",2,"Green",0,1,"Control",0,"Naive","ControlNaive"
18523,"Water","GreenDB","Green",1,"Green",1,0,"DB",0,"Naive","DBNaive"
18525,"Water","BrownDB","Brown",2,"Brown",1,0,"DB",0,"Naive","DBNaive"
18525,"Water","BrownDB","Green",1,"Brown",0,1,"Control",0,"Naive","ControlNaive"
18527,"DB","GreenDB","Brown",2,"Brown",1,1,"Control",1,"Trained","ControlTrained"
18527,"DB","GreenDB","Green",1,"Brown",0,0,"DB",1,"Trained","DBTrained"
18529,"DB","BrownDB","Brown",2,"Brown",1,0,"DB",1,"Trained","DBTrained"
18529,"DB","BrownDB","Green",1,"Brown",0,1,"Control",1,"Trained","ControlTrained"
18535,"Water","GreenDB","Brown",2,"Brown",1,1,"Control",0,"Naive","ControlNaive"
18535,"Water","GreenDB","Green",1,"Brown",0,0,"DB",0,"Naive","DBNaive"
18545,"Water","BrownDB","Brown",2,"Brown",1,0,"DB",0,"Naive","DBNaive"
18545,"Water","BrownDB","Green",1,"Brown",0,1,"Control",0,"Naive","ControlNaive"
18546,"DB","GreenDB","Brown",2,"Green",0,1,"Control",1,"Trained","ControlTrained"
18546,"DB","GreenDB","Green",1,"Green",1,0,"DB",1,"Trained","DBTrained"
18548,"DB","BrownDB","Brown",2,"Green",0,0,"DB",1,"Trained","DBTrained"
18548,"DB","BrownDB","Green",1,"Green",1,1,"Control",1,"Trained","ControlTrained"
18550,"Water","GreenDB","Brown",2,"Brown",1,1,"Control",0,"Naive","ControlNaive"
18550,"Water","GreenDB","Green",1,"Brown",0,0,"DB",0,"Naive","DBNaive"
18552,"Water","BrownDB","Brown",2,"Green",0,0,"DB",0,"Naive","DBNaive"
