"FID","GroupName","SubGroupName","FocalColor","FocalColorCode","AttackedColor","FocalAttackedYN","FocalPalatability","FocalPalatabilityTreatment","PriorExposureYN","PriorExposure","PalatExpo"
18617,NA,"BrownDB","Brown",2,"Green",0,0,"DB",NA,NA,"DBNA"
18617,NA,"BrownDB","Green",1,"Green",1,1,"Control",NA,NA,"ControlNA"
18620,NA,"GreenDB","Brown",2,"Brown",1,1,"Control",NA,NA,"ControlNA"
18620,NA,"GreenDB","Green",1,"Brown",0,0,"DB",NA,NA,"DBNA"
18623,NA,"BrownDB","Brown",2,"Brown",1,0,"DB",NA,NA,"DBNA"
18623,NA,"BrownDB","Green",1,"Brown",0,1,"Control",NA,NA,"ControlNA"
18624,NA,"BrownDB","Brown",2,"Green",0,0,"DB",NA,NA,"DBNA"
18624,NA,"BrownDB","Green",1,"Green",1,1,"Control",NA,NA,"ControlNA"
18625,NA,"GreenDB","Brown",2,"Brown",1,1,"Control",NA,NA,"ControlNA"
18625,NA,"GreenDB","Green",1,"Brown",0,0,"DB",NA,NA,"DBNA"
18626,NA,"GreenDB","Brown",2,"Green",0,1,"Control",NA,NA,"ControlNA"
18626,NA,"GreenDB","Green",1,"Green",1,0,"DB",NA,NA,"DBNA"
18627,NA,"GreenDB","Brown",2,"Brown",1,1,"Control",NA,NA,"ControlNA"
18627,NA,"GreenDB","Green",1,"Brown",0,0,"DB",NA,NA,"DBNA"
18628,NA,"GreenDB","Brown",2,"Green",0,1,"Control",NA,NA,"ControlNA"
18628,NA,"GreenDB","Green",1,"Green",1,0,"DB",NA,NA,"DBNA"
18629,NA,"BrownDB","Brown",2,"Brown",1,0,"DB",NA,NA,"DBNA"
18629,NA,"BrownDB","Green",1,"Brown",0,1,"Control",NA,NA,"ControlNA"
18630,NA,"BrownDB","Brown",2,"Green",0,0,"DB",NA,NA,"DBNA"
18630,NA,"BrownDB","Green",1,"Green",1,1,"Control",NA,NA,"ControlNA"
18631,NA,"BrownDB","Brown",2,"Green",0,0,"DB",NA,NA,"DBNA"
18631,NA,"BrownDB","Green",1,"Green",1,1,"Control",NA,NA,"ControlNA"
18632,NA,"BrownDB","Brown",2,"Green",0,0,"DB",NA,NA,"DBNA"
18632,NA,"BrownDB","Green",1,"Green",1,1,"Control",NA,NA,"ControlNA"
18633,NA,"GreenDB","Brown",2,"Brown",1,1,"Control",NA,NA,"ControlNA"
18633,NA,"GreenDB","Green",1,"Brown",0,0,"DB",NA,NA,"DBNA"
18634,NA,"GreenDB","Brown",2,"Green",0,1,"Control",NA,NA,"ControlNA"
18634,NA,"GreenDB","Green",1,"Green",1,0,"DB",NA,NA,"DBNA"
18635,NA,"GreenDB","Brown",2,"Green",0,1,"Control",NA,NA,"ControlNA"
18635,NA,"GreenDB","Green",1,"Green",1,0,"DB",NA,NA,"DBNA"
18636,NA,"GreenDB","Brown",2,"Green",0,1,"Control",NA,NA,"ControlNA"
18636,NA,"GreenDB","Green",1,"Green",1,0,"DB",NA,NA,"DBNA"
18637,NA,"GreenDB","Brown",2,"Green",0,1,"Control",NA,NA,"ControlNA"
18637,NA,"GreenDB","Green",1,"Green",1,0,"DB",NA,NA,"DBNA"
18638,NA,"GreenDB","Brown",2,"Brown",1,1,"Control",NA,NA,"ControlNA"
18638,NA,"GreenDB","Green",1,"Brown",0,0,"DB",NA,NA,"DBNA"
18639,NA,"BrownDB","Brown",2,"Green",0,0,"DB",NA,NA,"DBNA"
18639,NA,"BrownDB","Green",1,"Green",1,1,"Control",NA,NA,"ControlNA"
18640,NA,"BrownDB","Brown",2,"Brown",1,0,"DB",NA,NA,"DBNA"
18640,NA,"BrownDB","Green",1,"Brown",0,1,"Control",NA,NA,"ControlNA"
18641,NA,"BrownDB","Brown",2,"Green",0,0,"DB",NA,NA,"DBNA"
18641,NA,"BrownDB","Green",1,"Green",1,1,"Control",NA,NA,"ControlNA"
18643,NA,"GreenDB","Brown",2,"Green",0,1,"Control",NA,NA,"ControlNA"
18643,NA,"GreenDB","Green",1,"Green",1,0,"DB",NA,NA,"DBNA"
18644,NA,"GreenDB","Brown",2,"Green",0,1,"Control",NA,NA,"ControlNA"
18644,NA,"GreenDB","Green",1,"Green",1,0,"DB",NA,NA,"DBNA"
18645,NA,"GreenDB","Brown",2,"Green",0,1,"Control",NA,NA,"ControlNA"
18645,NA,"GreenDB","Green",1,"Green",1,0,"DB",NA,NA,"DBNA"
18646,NA,"GreenDB","Brown",2,"Brown",1,1,"Control",NA,NA,"ControlNA"
18646,NA,"GreenDB","Green",1,"Brown",0,0,"DB",NA,NA,"DBNA"
18647,NA,"BrownDB","Brown",2,"Brown",1,0,"DB",NA,NA,"DBNA"
18647,NA,"BrownDB","Green",1,"Brown",0,1,"Control",NA,NA,"ControlNA"
18648,NA,"BrownDB","Brown",2,"Green",0,0,"DB",NA,NA,"DBNA"
18648,NA,"BrownDB","Green",1,"Green",1,1,"Control",NA,NA,"ControlNA"
18649,NA,"BrownDB","Brown",2,"Brown",1,0,"DB",NA,NA,"DBNA"
18649,NA,"BrownDB","Green",1,"Brown",0,1,"Control",NA,NA,"ControlNA"
18650,NA,"BrownDB","Brown",2,"Brown",1,0,"DB",NA,NA,"DBNA"
18650,NA,"BrownDB","Green",1,"Brown",0,1,"Control",NA,NA,"ControlNA"
18679,NA,"BrownDB","Brown",2,"Brown",1,0,"DB",NA,NA,"DBNA"
18679,NA,"BrownDB","Green",1,"Brown",0,1,"Control",NA,NA,"ControlNA"
