"FID","GroupName","SubGroupName","FocalColor","FocalColorCode","AttackedColor","FocalAttackedYN","FocalPalatability","FocalPalatabilityTreatment","PriorExposureYN","PriorExposure","PalatExpo"
18624,NA,"BrownMW","Green",1,"Brown",0,1,"Sunflower",NA,NA,"SunflowerNA"
18625,NA,"GreenMW","Brown",2,"Green",0,1,"Sunflower",NA,NA,"SunflowerNA"
18625,NA,"GreenMW","Green",1,"Green",1,0,"Milkweed",NA,NA,"MilkweedNA"
18627,NA,"BrownMW","Brown",2,"Brown",1,0,"Milkweed",NA,NA,"MilkweedNA"
18627,NA,"BrownMW","Green",1,"Brown",0,1,"Sunflower",NA,NA,"SunflowerNA"
18628,NA,"GreenMW","Brown",2,"Brown",1,1,"Sunflower",NA,NA,"SunflowerNA"
18628,NA,"GreenMW","Green",1,"Brown",0,0,"Milkweed",NA,NA,"MilkweedNA"
18629,NA,"BrownMW","Brown",2,"Brown",1,0,"Milkweed",NA,NA,"MilkweedNA"
18629,NA,"BrownMW","Green",1,"Brown",0,1,"Sunflower",NA,NA,"SunflowerNA"
18630,NA,"GreenMW","Brown",2,"Green",0,1,"Sunflower",NA,NA,"SunflowerNA"
18630,NA,"GreenMW","Green",1,"Green",1,0,"Milkweed",NA,NA,"MilkweedNA"
18631,NA,"BrownMW","Brown",2,"Green",0,0,"Milkweed",NA,NA,"MilkweedNA"
18631,NA,"BrownMW","Green",1,"Green",1,1,"Sunflower",NA,NA,"SunflowerNA"
18632,NA,"GreenMW","Brown",2,"Green",0,1,"Sunflower",NA,NA,"SunflowerNA"
18632,NA,"GreenMW","Green",1,"Green",1,0,"Milkweed",NA,NA,"MilkweedNA"
18633,NA,"BrownMW","Brown",2,"Green",0,0,"Milkweed",NA,NA,"MilkweedNA"
18633,NA,"BrownMW","Green",1,"Green",1,1,"Sunflower",NA,NA,"SunflowerNA"
18634,NA,"GreenMW","Brown",2,"Brown",1,1,"Sunflower",NA,NA,"SunflowerNA"
18634,NA,"GreenMW","Green",1,"Brown",0,0,"Milkweed",NA,NA,"MilkweedNA"
