"FID","GroupName","SubGroupName","FocalColor","FocalColorCode","AttackedColor","FocalAttackedYN","FocalPalatability","FocalPalatabilityTreatment","PriorExposureYN","PriorExposure","PalatExpo"
18620,"Water","BrownDB","Brown",2,"Brown",1,0,"DB",0,"Naive","DBNaive"
18620,"Water","BrownDB","Green",1,"Brown",0,1,"Control",0,"Naive","ControlNaive"
18621,"DB","GreenDB","Brown",2,"Green",0,1,"Control",1,"Trained","ControlTrained"
18621,"DB","GreenDB","Green",1,"Green",1,0,"DB",1,"Trained","DBTrained"
18622,"Water","GreenDB","Brown",2,"Green",0,1,"Control",0,"Naive","ControlNaive"
18622,"Water","GreenDB","Green",1,"Green",1,0,"DB",0,"Naive","DBNaive"
18623,"DB","BrownDB","Brown",2,"Green",0,0,"DB",1,"Trained","DBTrained"
18623,"DB","BrownDB","Green",1,"Green",1,1,"Control",1,"Trained","ControlTrained"
18624,"Water","BrownDB","Brown",2,"Brown",1,0,"DB",0,"Naive","DBNaive"
18624,"Water","BrownDB","Green",1,"Brown",0,1,"Control",0,"Naive","ControlNaive"
18625,"DB","GreenDB","Brown",2,"Green",0,1,"Control",1,"Trained","ControlTrained"
18625,"DB","GreenDB","Green",1,"Green",1,0,"DB",1,"Trained","DBTrained"
18626,"Water","GreenDB","Brown",2,"Brown",1,1,"Control",0,"Naive","ControlNaive"
18626,"Water","GreenDB","Green",1,"Brown",0,0,"DB",0,"Naive","DBNaive"
18627,"DB","BrownDB","Brown",2,"Brown",1,0,"DB",1,"Trained","DBTrained"
18627,"DB","BrownDB","Green",1,"Brown",0,1,"Control",1,"Trained","ControlTrained"
18628,"Water","BrownDB","Brown",2,"Green",0,0,"DB",0,"Naive","DBNaive"
18628,"Water","BrownDB","Green",1,"Green",1,1,"Control",0,"Naive","ControlNaive"
18629,"DB","GreenDB","Brown",2,"Brown",1,1,"Control",1,"Trained","ControlTrained"
18629,"DB","GreenDB","Green",1,"Brown",0,0,"DB",1,"Trained","DBTrained"
18631,"DB","BrownDB","Brown",2,"Green",0,0,"DB",1,"Trained","DBTrained"
18631,"DB","BrownDB","Green",1,"Green",1,1,"Control",1,"Trained","ControlTrained"
18633,"DB","GreenDB","Brown",2,"Green",0,1,"Control",1,"Trained","ControlTrained"
18633,"DB","GreenDB","Green",1,"Green",1,0,"DB",1,"Trained","DBTrained"
18634,"Water","GreenDB","Brown",2,"Green",0,1,"Control",0,"Naive","ControlNaive"
18634,"Water","GreenDB","Green",1,"Green",1,0,"DB",0,"Naive","DBNaive"
18635,"DB","BrownDB","Brown",2,"Brown",1,0,"DB",1,"Trained","DBTrained"
18635,"DB","BrownDB","Green",1,"Brown",0,1,"Control",1,"Trained","ControlTrained"
18636,"Water","BrownDB","Brown",2,"Brown",1,0,"DB",0,"Naive","DBNaive"
18636,"Water","BrownDB","Green",1,"Brown",0,1,"Control",0,"Naive","ControlNaive"
18637,"DB","GreenDB","Brown",2,"Green",0,1,"Control",1,"Trained","ControlTrained"
18637,"DB","GreenDB","Green",1,"Green",1,0,"DB",1,"Trained","DBTrained"
18638,"Water","GreenDB","Brown",2,"Brown",1,1,"Control",0,"Naive","ControlNaive"
18638,"Water","GreenDB","Green",1,"Brown",0,0,"DB",0,"Naive","DBNaive"
18639,"DB","BrownDB","Brown",2,"Green",0,0,"DB",1,"Trained","DBTrained"
18639,"DB","BrownDB","Green",1,"Green",1,1,"Control",1,"Trained","ControlTrained"
18640,"Water","BrownDB","Brown",2,"Green",0,0,"DB",0,"Naive","DBNaive"
18640,"Water","BrownDB","Green",1,"Green",1,1,"Control",0,"Naive","ControlNaive"
18641,"DB","GreenDB","Brown",2,"Green",0,1,"Control",1,"Trained","ControlTrained"
18641,"DB","GreenDB","Green",1,"Green",1,0,"DB",1,"Trained","DBTrained"
18642,"Water","GreenDB","Brown",2,"Green",0,1,"Control",0,"Naive","ControlNaive"
18642,"Water","GreenDB","Green",1,"Green",1,0,"DB",0,"Naive","DBNaive"
18643,"DB","BrownDB","Brown",2,"Green",0,0,"DB",1,"Trained","DBTrained"
18643,"DB","BrownDB","Green",1,"Green",1,1,"Control",1,"Trained","ControlTrained"
18644,"Water","BrownDB","Brown",2,"Green",0,0,"DB",0,"Naive","DBNaive"
18644,"Water","BrownDB","Green",1,"Green",1,1,"Control",0,"Naive","ControlNaive"
18645,"DB","GreenDB","Brown",2,"Green",0,1,"Control",1,"Trained","ControlTrained"
18645,"DB","GreenDB","Green",1,"Green",1,0,"DB",1,"Trained","DBTrained"
18646,"Water","GreenDB","Brown",2,"Green",0,1,"Control",0,"Naive","ControlNaive"
18646,"Water","GreenDB","Green",1,"Green",1,0,"DB",0,"Naive","DBNaive"
18647,"DB","BrownDB","Brown",2,"Brown",1,0,"DB",1,"Trained","DBTrained"
18647,"DB","BrownDB","Green",1,"Brown",0,1,"Control",1,"Trained","ControlTrained"
18648,"Water","BrownDB","Brown",2,"Green",0,0,"DB",0,"Naive","DBNaive"
18648,"Water","BrownDB","Green",1,"Green",1,1,"Control",0,"Naive","ControlNaive"
18649,"DB","GreenDB","Brown",2,"Brown",1,1,"Control",1,"Trained","ControlTrained"
18649,"DB","GreenDB","Green",1,"Brown",0,0,"DB",1,"Trained","DBTrained"
18651,"DB","BrownDB","Brown",2,"Green",0,0,"DB",1,"Trained","DBTrained"
