"FID","SubGroupName","GroupName","AttackTime","ColorCode","Outcome","VideoTimeStart","ExcludeYN","ReasonExclusion","AttackedColor","Fate","DropYN","DelayToAttack","AttackedPalatability","AttackedPalatabilityTreatment","PriorExposureYN","PriorExposure","PalatExpo","AttackNb","PrevPalatabality"
18502,"BrownDB","Water",2019-03-22 00:02:22,2,-1,2019-03-22 00:02:02,0,NA,"Brown","Rejected",1,20,0,"DB","0","Naive","Naive",1,NA
18504,"GreenDB","DB",2019-03-22 00:02:09,1,-1,2019-03-22 00:02:04,0,NA,"Green","Rejected",1,5,0,"DB","1","Trained","Trained",1,NA
18507,"BrownDB","DB",2019-03-22 00:02:37,1,1,2019-03-22 00:02:27,0,NA,"Green","Consumed",0,10,1,"Control","1","Trained","Trained",1,NA
18511,"GreenDB","Water",2019-03-22 00:02:29,2,1,2019-03-22 00:02:14,0,NA,"Brown","Consumed",0,15,1,"Control","0","Naive","Naive",1,NA
18515,"BrownDB","Water",2019-03-22 00:02:19,2,1,2019-03-22 00:02:15,0,NA,"Brown","Consumed",0,4,0,"DB","0","Naive","Naive",1,NA
18517,"GreenDB","DB",2019-03-22 00:02:04,1,1,2019-03-22 00:02:03,0,NA,"Green","Consumed",0,1,0,"DB","1","Trained","Trained",1,NA
18519,"BrownDB","DB",2019-03-22 00:02:05,2,-1,2019-03-22 00:02:02,0,NA,"Brown","Rejected",1,3,0,"DB","1","Trained","Trained",1,NA
18523,"GreenDB","Water",2019-03-22 00:02:26,1,1,2019-03-22 00:02:03,0,NA,"Green","Consumed",0,23,0,"DB","0","Naive","Naive",1,NA
18525,"BrownDB","Water",2019-03-22 00:02:57,2,-1,2019-03-22 00:02:13,0,NA,"Brown","Rejected",1,44,0,"DB","0","Naive","Naive",1,NA
18527,"GreenDB","DB",2019-03-22 00:02:13,2,1,2019-03-22 00:02:02,0,NA,"Brown","Consumed",0,11,1,"Control","1","Trained","Trained",1,NA
