"FID","SubGroupName","GroupName","AttackTime","ColorCode","Outcome","VideoTimeStart","ExcludeYN","ReasonExclusion","AttackedColor","Fate","DropYN","DelayToAttack","AttackedPalatability","AttackedPalatabilityTreatment","PriorExposureYN","PriorExposure","PalatExpo","AttackNb","PrevPalatabality"
18585,"GreenDB","DB",2019-03-22 00:02:11,1,1,2019-03-22 00:02:03,0,NA,"Green","Consumed",0,8,0,"DB","1","Trained","Trained",1,NA
18586,"GreenDB","Water",2019-03-22 00:07:37,1,1,2019-03-22 00:02:26,0,NA,"Green","Consumed",0,311,0,"DB","0","Naive","Naive",1,NA
18587,"BrownDB","DB",2019-03-22 00:03:43,1,1,2019-03-22 00:02:19,0,NA,"Green","Consumed",0,84,1,"Control","1","Trained","Trained",1,NA
18588,"BrownDB","Water",2019-03-22 00:02:36,2,-1,2019-03-22 00:02:23,0,NA,"Brown","Rejected",1,13,0,"DB","0","Naive","Naive",1,NA
18589,"GreenDB","DB",2019-03-22 00:17:58,1,-1,2019-03-22 00:03:34,0,NA,"Green","Rejected",1,864,0,"DB","1","Trained","Trained",1,NA
18590,"GreenDB","Water",2019-03-22 00:02:46,2,1,2019-03-22 00:02:21,0,NA,"Brown","Consumed",0,25,1,"Control","0","Naive","Naive",1,NA
18591,"BrownDB","DB",2019-03-22 00:03:12,2,1,2019-03-22 00:02:30,0,NA,"Brown","Consumed",0,42,0,"DB","1","Trained","Trained",1,NA
18592,"BrownDB","Water",2019-03-22 00:03:22,1,1,2019-03-22 00:02:38,0,NA,"Green","Consumed",0,44,1,"Control","0","Naive","Naive",1,NA
18593,"GreenDB","DB",2019-03-22 00:04:34,1,-1,2019-03-22 00:03:13,0,NA,"Green","Rejected",1,81,0,"DB","1","Trained","Trained",1,NA
18594,"GreenDB","Water",2019-03-22 00:03:12,1,-1,2019-03-22 00:01:59,0,NA,"Green","Rejected",1,73,0,"DB","0","Naive","Naive",1,NA
