"FID","SubGroupName","GroupName","AttackTime","AttackedTermiteColor","Outcome","VideoTimeStart","ExcludeYN","ReasonExclusion","DelayToAttack","AttackedTermitePalatability"
18502,"BrownDB","Water",2019-02-19 00:02:22,"Brown","Dropped",2019-02-19 00:02:02,0,NA,20,0
18504,"GreenDB","DB",2019-02-19 00:02:09,"Green","Dropped",2019-02-19 00:02:04,0,NA,5,0
18507,"BrownDB","DB",2019-02-19 00:02:37,"Green","Consumed",2019-02-19 00:02:27,0,NA,10,1
18511,"GreenDB","Water",2019-02-19 00:02:29,"Brown","Consumed",2019-02-19 00:02:14,0,NA,15,1
18515,"BrownDB","Water",2019-02-19 00:02:19,"Brown","Consumed",2019-02-19 00:02:15,0,NA,4,0
18517,"GreenDB","DB",2019-02-19 00:02:04,"Green","Consumed",2019-02-19 00:02:03,0,NA,1,0
18519,"BrownDB","DB",2019-02-19 00:02:05,"Brown","Dropped",2019-02-19 00:02:02,0,NA,3,0
18523,"GreenDB","Water",2019-02-19 00:02:26,"Green","Consumed",2019-02-19 00:02:03,0,NA,23,0
18525,"BrownDB","Water",2019-02-19 00:02:57,"Brown","Dropped",2019-02-19 00:02:13,0,NA,44,0
18527,"GreenDB","DB",2019-02-19 00:02:13,"Brown","Consumed",2019-02-19 00:02:02,0,NA,11,1
18529,"BrownDB","DB",2019-02-19 00:02:15,"Brown","Consumed",2019-02-19 00:02:04,0,NA,11,0
18535,"GreenDB","Water",2019-02-19 00:02:16,"Brown","Consumed",2019-02-19 00:02:06,0,NA,10,1
18545,"BrownDB","Water",2019-02-19 00:02:24,"Brown","Dropped",2019-02-19 00:02:02,0,NA,22,0
18546,"GreenDB","DB",2019-02-19 00:02:20,"Green","Dropped",2019-02-19 00:02:02,0,NA,18,0
18548,"BrownDB","DB",2019-02-19 00:03:23,"Green","Consumed",2019-02-19 00:02:52,0,NA,31,1
18550,"GreenDB","Water",2019-02-19 00:03:07,"Brown","Consumed",2019-02-19 00:02:48,0,NA,19,1
18552,"BrownDB","Water",2019-02-19 00:03:43,"Green","Dropped",2019-02-19 00:02:44,0,NA,59,1
18554,"GreenDB","DB",2019-02-19 00:03:15,"Brown","Consumed",2019-02-19 00:02:42,0,NA,33,1
18557,"BrownDB","DB",2019-02-19 00:02:41,"Green","Consumed",2019-02-19 00:02:32,0,NA,9,1
18559,"GreenDB","Water",2019-02-19 00:03:12,"Green","Consumed",2019-02-19 00:02:27,0,NA,45,0
18561,"BrownDB","Water",2019-02-19 00:05:05,"Brown","Dropped",2019-02-19 00:04:58,0,NA,7,0
18563,"GreenDB","DB",2019-02-19 00:04:48,"Green","Dropped",2019-02-19 00:04:42,0,NA,6,0
18567,"BrownDB","DB",2019-02-19 00:05:00,"Brown","Dropped",2019-02-19 00:04:37,0,NA,23,0
18575,"GreenDB","Water",2019-02-19 00:05:35,"Brown","Dropped",2019-02-19 00:04:36,0,NA,59,1
18577,"BrownDB","Water",2019-02-19 00:04:30,"Green","Consumed",2019-02-19 00:04:28,0,NA,2,1
