"FID","SubGroupName","GroupName","AttackTime","AttackedTermiteColor","Outcome","VideoTimeStart","ExcludeYN","ReasonExclusion","DelayToAttack","AttackedTermitePalatability"
18603,"BrownDB","DB",2018-10-31 00:03:08,"Green","Dropped",2018-10-31 00:02:47,0,NA,21,1
18605,"GreenDB","DB",2018-10-31 00:02:42,"Green","Consumed",2018-10-31 00:02:32,0,NA,10,0
18606,"GreenDB","Water",2018-10-31 00:13:14,"Green","Consumed",2018-10-31 00:02:41,0,NA,633,0
18607,"BrownDB","DB",2018-10-31 00:04:23,"Green","Consumed",2018-10-31 00:04:17,0,NA,6,1
18608,"BrownDB","Water",2018-10-31 00:04:36,"Green","Consumed",2018-10-31 00:04:29,0,NA,7,1
18609,"GreenDB","DB",2018-10-31 00:02:25,"Green","Consumed",2018-10-31 00:02:05,0,NA,20,0
18610,"GreenDB","Water",2018-10-31 00:04:58,"Green","Consumed",2018-10-31 00:02:54,0,NA,124,0
18611,"BrownDB","DB",2018-10-31 00:03:17,"Green","Consumed",2018-10-31 00:02:33,0,NA,44,1
18612,"BrownDB","Water",2018-10-31 00:02:54,"Brown","Consumed",2018-10-31 00:02:46,0,NA,8,0
18613,"GreenDB","DB",2018-10-31 00:03:26,"Green","Consumed",2018-10-31 00:02:51,0,NA,35,0
18614,"GreenDB","Water",2018-10-31 00:06:07,"Brown","Dropped",2018-10-31 00:04:27,0,NA,100,1
18615,"BrownDB","DB",2018-10-31 00:04:44,"Green","Consumed",2018-10-31 00:04:35,0,NA,9,1
18616,"BrownDB","Water",2018-10-31 00:08:27,"Brown","Consumed",2018-10-31 00:05:13,0,NA,194,1
18617,"GreenDB","DB",2018-10-31 00:39:15,"Green","Dropped",2018-10-31 00:02:21,0,NA,2214,0
18618,"GreenDB","Water",2018-10-31 00:02:58,"Green","Dropped",2018-10-31 00:02:49,0,NA,9,0
18619,"BrownDB","DB",2018-10-31 01:40:41,"Brown","Dropped",2018-10-31 00:07:22,0,NA,5599,0
18620,"BrownDB","Water",2018-10-31 00:02:20,"Green","Consumed",2018-10-31 00:02:20,0,NA,0,1
18621,"GreenDB","DB",2018-10-31 00:03:24,"Brown","Dropped",2018-10-31 00:03:14,0,NA,10,1
18622,"GreenDB","Water",2018-10-31 00:03:06,"Brown","Dropped",2018-10-31 00:02:58,0,NA,8,1
18623,"BrownDB","DB",2018-10-31 00:15:06,"Brown","Consumed",2018-10-31 00:00:00,0,NA,906,1
18624,"BrownDB","Water",2018-10-31 00:03:06,"Green","Consumed",2018-10-31 00:02:30,0,NA,36,1
18625,"GreenDB","DB",2018-10-31 00:03:39,"Brown","Consumed",2018-10-31 00:03:11,0,NA,28,1
18626,"GreenDB","Water",2018-10-31 00:03:35,"Green","Dropped",2018-10-31 00:03:12,0,NA,23,0
18627,"BrownDB","DB",2018-10-31 00:05:15,"Green","Consumed",2018-10-31 00:03:26,0,NA,109,1
18628,"BrownDB","Water",2018-10-31 00:07:19,"Brown","Dropped",2018-10-31 00:04:40,0,NA,159,1
18629,"GreenDB","DB",2018-10-31 00:02:15,"Green","Consumed",2018-10-31 00:02:08,0,NA,7,0
18631,"BrownDB","DB",2018-10-31 00:03:10,"Brown","Consumed",2018-10-31 00:02:46,0,NA,24,1
18633,"GreenDB","DB",2018-10-31 00:02:58,"Brown","Consumed",2018-10-31 00:02:53,0,NA,5,1
18634,"GreenDB","Water",2018-10-31 00:03:10,"Brown","Dropped",2018-10-31 00:02:25,0,NA,45,1
18635,"BrownDB","DB",2018-10-31 00:08:12,"Green","Dropped",2018-10-31 00:02:22,0,NA,350,1
18636,"BrownDB","Water",2018-10-31 00:03:36,"Green","Dropped",2018-10-31 00:02:30,0,NA,66,1
18637,"GreenDB","DB",2018-10-31 00:03:12,"Brown","Consumed",2018-10-31 00:02:31,0,NA,41,1
18638,"GreenDB","Water",2018-10-31 00:03:23,"Green","Consumed",2018-10-31 00:02:27,0,NA,56,0
18639,"BrownDB","DB",2018-10-31 00:05:04,"Brown","Consumed",2018-10-31 00:02:26,0,NA,158,1
18640,"BrownDB","Water",2018-10-31 00:03:10,"Brown","Consumed",2018-10-31 00:03:04,0,NA,6,0
18641,"GreenDB","DB",2018-10-31 00:05:54,"Brown","Dropped",2018-10-31 00:02:56,0,NA,178,1
