"FID","SubGroupName","GroupName","AttackTime","AttackedTermiteColor","Outcome","VideoTimeStart","ExcludeYN","ReasonExclusion","DelayToAttack","DropYN","AttackedTermitePalatability"
18620,"BrownDB","Water",2018-10-31 00:02:20,"Green","Consumed",2018-10-31 00:02:20,0,NA,0,0,1
18621,"GreenDB","DB",2018-10-31 00:03:24,"Brown","Dropped",2018-10-31 00:03:14,0,NA,10,1,1
18621,"GreenDB","DB",2018-10-31 00:05:52,"Green","Consumed",2018-10-31 00:03:14,0,NA,158,0,0
18622,"GreenDB","Water",2018-10-31 00:03:06,"Brown","Dropped",2018-10-31 00:02:58,0,NA,8,1,1
18622,"GreenDB","Water",2018-10-31 00:03:40,"Brown","Dropped",2018-10-31 00:02:58,0,NA,42,1,1
18622,"GreenDB","Water",2018-10-31 00:04:49,"Green","Consumed",2018-10-31 00:02:58,0,NA,111,0,0
18623,"BrownDB","DB",2018-10-31 00:15:06,"Brown","Consumed",2018-10-31 00:00:00,0,NA,906,0,1
18624,"BrownDB","Water",2018-10-31 00:03:06,"Green","Consumed",2018-10-31 00:02:30,0,NA,36,0,1
18625,"GreenDB","DB",2018-10-31 00:03:39,"Brown","Consumed",2018-10-31 00:03:11,0,NA,28,0,1
18626,"GreenDB","Water",2018-10-31 00:03:35,"Green","Dropped",2018-10-31 00:03:12,0,NA,23,1,0
18626,"GreenDB","Water",2018-10-31 00:04:00,"Brown","Consumed",2018-10-31 00:03:12,0,NA,48,0,1
18627,"BrownDB","DB",2018-10-31 00:05:15,"Green","Consumed",2018-10-31 00:03:26,0,NA,109,0,1
18628,"BrownDB","Water",2018-10-31 00:07:19,"Brown","Dropped",2018-10-31 00:04:40,0,NA,159,1,1
18628,"BrownDB","Water",2018-10-31 00:07:21,"Brown","Consumed",2018-10-31 00:04:40,0,NA,161,0,1
18629,"GreenDB","DB",2018-10-31 00:02:15,"Green","Consumed",2018-10-31 00:02:08,0,NA,7,0,0
18631,"BrownDB","DB",2018-10-31 00:03:10,"Brown","Consumed",2018-10-31 00:02:46,0,NA,24,0,0
18633,"GreenDB","DB",2018-10-31 00:02:58,"Brown","Consumed",2018-10-31 00:02:53,0,NA,5,0,1
18634,"GreenDB","Water",2018-10-31 00:03:10,"Brown","Dropped",2018-10-31 00:02:25,0,NA,45,1,1
18634,"GreenDB","Water",2018-10-31 00:03:14,"Green","Consumed",2018-10-31 00:02:25,0,NA,49,0,0
18635,"BrownDB","DB",2018-10-31 00:08:12,"Green","Dropped",2018-10-31 00:02:22,0,NA,350,1,1
18635,"BrownDB","DB",2018-10-31 00:22:47,"Brown","Consumed",2018-10-31 00:02:22,0,NA,1225,0,0
18636,"BrownDB","Water",2018-10-31 00:03:36,"Green","Dropped",2018-10-31 00:02:30,0,NA,66,1,1
18636,"BrownDB","Water",2018-10-31 00:03:55,"Green","Consumed",2018-10-31 00:02:30,0,NA,85,0,1
