Wavelength	Paint	Reflectance	LowCI	UpperCI
399	Brown	6.5135	6.334235584	6.692764416
400	Brown	6.525333333	6.344827914	6.705838752
401	Brown	6.533333333	6.353987901	6.712678766
402	Brown	6.506	6.326277864	6.685722136
403	Brown	6.4805	6.29968191	6.66131809
404	Brown	6.462	6.28019429	6.64380571
405	Brown	6.48	6.295357491	6.664642509
406	Brown	6.544333333	6.357571863	6.731094803
407	Brown	6.590666667	6.402948791	6.778384542
408	Brown	6.605	6.416961783	6.793038217
409	Brown	6.603666667	6.417753267	6.789580066
410	Brown	6.612666667	6.426958867	6.798374467
411	Brown	6.634666667	6.449191925	6.820141408
412	Brown	6.673	6.486847382	6.859152618
413	Brown	6.696	6.5099435	6.8820565
414	Brown	6.658333333	6.472111684	6.844554982
415	Brown	6.603	6.417928648	6.788071352
416	Brown	6.514	6.330412946	6.697587054
417	Brown	6.445666667	6.261300016	6.630033317
418	Brown	6.419333333	6.235028646	6.60363802
419	Brown	6.363333333	6.177594719	6.549071947
420	Brown	6.386666667	6.19998906	6.573344274
421	Brown	6.4365	6.249031942	6.623968058
422	Brown	6.422666667	6.235393985	6.609939348
423	Brown	6.468	6.279463299	6.656536701
424	Brown	6.559333333	6.368869847	6.749796819
425	Brown	6.6155	6.423815129	6.807184871
426	Brown	6.750333333	6.555874768	6.944791898
427	Brown	6.923666667	6.7284373	7.118896033
428	Brown	6.972666667	6.778198875	7.167134459
429	Brown	6.978666667	6.785417713	7.17191562
430	Brown	6.9625	6.768880521	7.156119479
431	Brown	6.907666667	6.71402148	7.101311853
432	Brown	6.888333333	6.69410107	7.082565596
433	Brown	6.945333333	6.748864301	7.141802366
434	Brown	7.034	6.835429495	7.232570505
435	Brown	7.1465	6.946166845	7.346833155
436	Brown	7.238	7.036938541	7.439061459
437	Brown	7.219666667	7.020655865	7.418677469
438	Brown	7.164666667	6.968017473	7.36131586
439	Brown	7.1625	6.963964319	7.361035681
440	Brown	7.202	7.002698865	7.401301135
441	Brown	7.31	7.107451056	7.512548944
442	Brown	7.425333333	7.221261727	7.62940494
443	Brown	7.442666667	7.240071834	7.645261499
444	Brown	7.363	7.162150556	7.563849444
445	Brown	7.298666667	7.099490107	7.497843227
446	Brown	7.342333333	7.141376595	7.543290071
447	Brown	7.457333333	7.254152541	7.660514126
448	Brown	7.636666667	7.431021704	7.842311629
449	Brown	7.801	7.593841128	8.008158872
450	Brown	7.845666667	7.639577038	8.051756296
451	Brown	7.820333333	7.616598022	8.024068644
452	Brown	7.799333333	7.597496056	8.001170611
453	Brown	7.763	7.562564411	7.963435589
454	Brown	7.7865	7.58667174	7.98632826
455	Brown	7.836666667	7.635621878	8.037711455
456	Brown	7.835333333	7.633897169	8.036769498
457	Brown	7.765	7.564937199	7.965062801
458	Brown	7.611666667	7.413277406	7.810055927
459	Brown	7.6045	7.404804576	7.804195424
460	Brown	7.676666667	7.47610764	7.877225694
461	Brown	7.791	7.590529237	7.991470763
462	Brown	8.003666667	7.801193094	8.206140239
463	Brown	8.08	7.878383565	8.281616435
464	Brown	8.057	7.85614603	8.25785397
465	Brown	8.024	7.824740831	8.223259169
466	Brown	8.017666667	7.818897822	8.216435512
467	Brown	8.079666667	7.881026392	8.278306942
468	Brown	8.117333333	7.918649012	8.316017655
469	Brown	8.174333333	7.974980764	8.373685903
470	Brown	8.2005	8.000230065	8.400769935
471	Brown	8.178333333	7.979277416	8.377389251
472	Brown	8.198	7.998527602	8.397472398
473	Brown	8.249666667	8.050172673	8.44916066
474	Brown	8.266333333	8.065998728	8.466667939
475	Brown	8.2769	8.076303315	8.477496685
476	Brown	8.3158	8.114364929	8.517235071
477	Brown	8.3547	8.152423413	8.556976587
478	Brown	8.3936	8.190478808	8.596721192
479	Brown	8.4325	8.22853115	8.63646885
480	Brown	8.4714	8.266580478	8.676219522
481	Brown	8.5103	8.30462683	8.71597317
482	Brown	8.5492	8.342670242	8.755729758
483	Brown	8.5881	8.38071075	8.79548925
484	Brown	8.627	8.418748392	8.835251608
485	Brown	8.6659	8.456783201	8.875016799
486	Brown	8.7048	8.494815214	8.914784786
487	Brown	8.7437	8.532844464	8.954555536
488	Brown	8.7826	8.570870986	8.994329014
489	Brown	8.8215	8.608894814	9.034105186
490	Brown	8.8604	8.64691598	9.07388402
491	Brown	8.8993	8.684934517	9.113665483
492	Brown	8.9382	8.722950458	9.153449542
493	Brown	8.9771	8.760963835	9.193236165
494	Brown	9.016	8.798974678	9.233025322
495	Brown	9.069333333	8.850773106	9.28789356
496	Brown	8.986	8.769297943	9.202702057
497	Brown	8.992666667	8.776740027	9.208593306
498	Brown	9.068333333	8.851771792	9.284894874
499	Brown	9.230333333	9.013371974	9.447294693
500	Brown	9.341	9.123140353	9.558859647
501	Brown	9.442333333	9.225281931	9.659384736
502	Brown	9.523333333	9.307333345	9.739333321
503	Brown	9.581666667	9.365818052	9.797515281
504	Brown	9.659	9.441018296	9.876981704
505	Brown	9.734666667	9.514787886	9.954545448
506	Brown	9.779	9.558719419	9.999280581
507	Brown	9.8	9.579368432	10.02063157
508	Brown	9.848	9.627431352	10.06856865
