"FID","SubGroupName","GroupName","AttackTime","ColorCode","Outcome","VideoTimeStart","ExcludeYN","ReasonExclusion","AttackedColor","Fate","DropYN","PriorExposureYN","PriorExposure","DelayToAttack","AttackedPalatability","AttackedPalatabilityTreatment","AttackNb","PrevPalatabality"
18663,"BrownDB",NA,2019-03-21 00:02:40,2,-1,2019-03-21 00:02:03,0,NA,"Brown","Rejected",1,NA,NA,37,0,"DB",4,0
18663,"BrownDB",NA,2019-03-21 00:02:45,2,-1,2019-03-21 00:02:03,0,NA,"Brown","Rejected",1,NA,NA,42,0,"DB",5,0
18663,"BrownDB",NA,2019-03-21 00:03:19,2,-1,2019-03-21 00:02:03,0,NA,"Brown","Rejected",1,NA,NA,76,0,"DB",6,0
18663,"BrownDB",NA,2019-03-21 00:03:37,1,1,2019-03-21 00:02:03,0,NA,"Green","Consumed",0,NA,NA,94,1,"Control",7,0
18664,"BrownDB",NA,2019-03-21 00:03:04,1,1,2019-03-21 00:02:06,0,NA,"Green","Consumed",0,NA,NA,58,1,"Control",1,NA
18665,"GreenDB",NA,2019-03-21 00:02:28,1,1,2019-03-21 00:02:02,0,NA,"Green","Consumed",0,NA,NA,26,0,"DB",1,NA
18666,"GreenDB",NA,2019-03-21 00:02:46,1,-1,2019-03-21 00:02:26,0,NA,"Green","Rejected",1,NA,NA,20,0,"DB",1,NA
18666,"GreenDB",NA,2019-03-21 00:03:15,1,-1,2019-03-21 00:02:26,0,NA,"Green","Rejected",1,NA,NA,49,0,"DB",2,0
18666,"GreenDB",NA,2019-03-21 00:03:27,1,-1,2019-03-21 00:02:26,0,NA,"Green","Rejected",1,NA,NA,61,0,"DB",3,0
18666,"GreenDB",NA,2019-03-21 00:03:41,1,1,2019-03-21 00:02:26,0,NA,"Green","Consumed",0,NA,NA,75,0,"DB",4,0
18667,"BrownDB",NA,2019-03-21 00:02:29,1,1,2019-03-21 00:02:20,0,NA,"Green","Consumed",0,NA,NA,9,1,"Control",1,NA
18668,"BrownDB",NA,2019-03-21 00:03:47,2,-1,2019-03-21 00:02:21,0,NA,"Brown","Rejected",1,NA,NA,86,0,"DB",1,NA
18668,"BrownDB",NA,2019-03-21 00:04:04,1,1,2019-03-21 00:02:21,0,NA,"Green","Consumed",0,NA,NA,103,1,"Control",2,0
18670,"GreenDB",NA,2019-03-21 00:03:05,1,-1,2019-03-21 00:02:54,0,NA,"Green","Rejected",1,NA,NA,11,0,"DB",1,NA
18670,"GreenDB",NA,2019-03-21 00:03:26,1,-1,2019-03-21 00:02:54,0,NA,"Green","Rejected",1,NA,NA,32,0,"DB",2,0
18670,"GreenDB",NA,2019-03-21 00:03:32,1,-1,2019-03-21 00:02:54,0,NA,"Green","Rejected",1,NA,NA,38,0,"DB",3,0
18670,"GreenDB",NA,2019-03-21 00:03:36,1,-1,2019-03-21 00:02:54,0,NA,"Green","Rejected",1,NA,NA,42,0,"DB",4,0
18670,"GreenDB",NA,2019-03-21 00:03:39,2,1,2019-03-21 00:02:54,0,NA,"Brown","Consumed",0,NA,NA,45,1,"Control",5,0
18671,"BrownDB",NA,2019-03-21 00:46:22,2,-1,2019-03-21 00:03:04,0,NA,"Brown","Rejected",1,NA,NA,2598,0,"DB",1,NA
18671,"BrownDB",NA,2019-03-21 00:56:30,1,1,2019-03-21 00:03:04,0,NA,"Green","Consumed",0,NA,NA,3206,1,"Control",2,0
18672,"BrownDB",NA,2019-03-21 00:08:19,2,-1,2019-03-21 00:02:58,0,NA,"Brown","Rejected",1,NA,NA,321,0,"DB",1,NA
18672,"BrownDB",NA,2019-03-21 00:08:32,2,-1,2019-03-21 00:02:58,0,NA,"Brown","Rejected",1,NA,NA,334,0,"DB",2,0
18672,"BrownDB",NA,2019-03-21 00:13:29,1,1,2019-03-21 00:02:58,0,NA,"Green","Consumed",0,NA,NA,631,1,"Control",3,0
18673,"GreenDB",NA,2019-03-21 00:03:26,2,-1,2019-03-21 00:03:02,0,NA,"Brown","Rejected",1,NA,NA,24,1,"Control",1,NA
18673,"GreenDB",NA,2019-03-21 00:03:29,2,1,2019-03-21 00:03:02,0,NA,"Brown","Consumed",0,NA,NA,27,1,"Control",2,1
18674,"BrownDB",NA,2019-03-21 00:03:06,2,-1,2019-03-21 00:03:00,0,NA,"Brown","Rejected",1,NA,NA,6,0,"DB",1,NA
18674,"BrownDB",NA,2019-03-21 00:04:35,1,1,2019-03-21 00:03:00,0,NA,"Green","Consumed",0,NA,NA,95,1,"Control",2,0
18675,"GreenDB",NA,2019-03-21 00:04:48,1,1,2019-03-21 00:02:53,0,NA,"Green","Consumed",0,NA,NA,115,0,"DB",1,NA
18676,"BrownDB",NA,2019-03-21 00:02:48,1,1,2019-03-21 00:02:42,0,NA,"Green","Consumed",0,NA,NA,6,1,"Control",1,NA
18677,"BrownDB",NA,2019-03-21 00:02:22,1,1,2019-03-21 00:02:04,0,NA,"Green","Consumed",0,NA,NA,18,1,"Control",1,NA
18678,"GreenDB",NA,2019-03-21 00:02:47,2,1,2019-03-21 00:02:04,0,NA,"Brown","Consumed",0,NA,NA,43,1,"Control",1,NA
18680,"GreenDB",NA,2019-03-21 00:02:24,1,-1,2019-03-21 00:02:12,0,NA,"Green","Rejected",1,NA,NA,12,0,"DB",1,NA
18680,"GreenDB",NA,2019-03-21 00:02:43,1,1,2019-03-21 00:02:12,0,NA,"Green","Consumed",0,NA,NA,31,0,"DB",2,0
18681,"BrownDB",NA,2019-03-21 00:04:32,1,1,2019-03-21 00:02:06,0,NA,"Green","Consumed",0,NA,NA,146,1,"Control",1,NA
18682,"BrownDB",NA,2019-03-21 00:02:37,1,1,2019-03-21 00:02:32,0,NA,"Green","Consumed",0,NA,NA,5,1,"Control",1,NA
18683,"BrownDB",NA,2019-03-21 00:02:46,2,-1,2019-03-21 00:02:30,0,NA,"Brown","Rejected",1,NA,NA,16,0,"DB",1,NA
18683,"BrownDB",NA,2019-03-21 00:03:16,2,-1,2019-03-21 00:02:30,0,NA,"Brown","Rejected",1,NA,NA,46,0,"DB",2,0
18683,"BrownDB",NA,2019-03-21 00:04:17,1,1,2019-03-21 00:02:30,0,NA,"Green","Consumed",0,NA,NA,107,1,"Control",3,0
18684,"GreenDB",NA,2019-03-21 00:02:51,2,-1,2019-03-21 00:02:05,0,NA,"Brown","Rejected",1,NA,NA,46,1,"Control",1,NA
18684,"GreenDB",NA,2019-03-21 00:02:52,2,1,2019-03-21 00:02:05,0,NA,"Brown","Consumed",0,NA,NA,47,1,"Control",2,1
18685,"GreenDB",NA,2019-03-21 00:02:38,2,1,2019-03-21 00:02:24,0,NA,"Brown","Consumed",0,NA,NA,14,1,"Control",1,NA
