"FID","SubGroupName","GroupName","AttackTime","AttackedTermiteColor","Outcome","VideoTimeStart","ExcludeYN","ReasonExclusion","DelayToAttack","DropYN","PriorExposureYN","AttackedTermitePalatability","AttackNb","PrevPalatabality"
18161,"GreenDB","DB",2019-02-20 00:03:35,"Green","Dropped",2019-02-20 00:02:16,0,NA,79,1,1,0,2,0
18161,"GreenDB","DB",2019-02-20 00:06:09,"Green","Dropped",2019-02-20 00:02:16,0,NA,233,1,1,0,3,0
18161,"GreenDB","DB",2019-02-20 00:07:18,"Brown","Consumed",2019-02-20 00:02:16,0,NA,302,0,1,1,4,0
18232,"BrownDB","DB",2019-02-20 00:14:40,"Brown","Dropped",2019-02-20 00:03:02,0,NA,698,1,1,0,1,NA
18232,"BrownDB","DB",2019-02-20 00:20:46,"Green","Consumed",2019-02-20 00:03:02,0,NA,1064,0,1,1,2,0
18234,"GreenDB","Water",2019-02-20 00:03:24,"Green","Dropped",2019-02-20 00:02:52,0,NA,32,1,0,0,1,NA
18234,"GreenDB","Water",2019-02-20 00:04:56,"Green","Dropped",2019-02-20 00:02:52,0,NA,124,1,0,0,2,0
18234,"GreenDB","Water",2019-02-20 00:05:03,"Brown","Consumed",2019-02-20 00:02:52,0,NA,131,0,0,1,3,0
18254,"BrownDB","Water",2019-02-20 00:02:06,"Brown","Dropped",2019-02-20 00:02:02,0,NA,4,1,0,0,1,NA
18254,"BrownDB","Water",2019-02-20 00:02:09,"Brown","Consumed",2019-02-20 00:02:02,0,NA,7,0,0,0,2,0
18280,"GreenDB","DB",2019-02-20 00:02:27,"Green","Consumed",2019-02-20 00:02:02,0,NA,25,0,1,0,1,NA
18286,"BrownDB","DB",2019-02-20 00:02:09,"Green","Consumed",2019-02-20 00:01:48,0,NA,21,0,1,1,1,NA
18288,"GreenDB","Water",2019-02-20 00:34:03,"Brown","Dropped",2019-02-20 00:02:25,0,NA,1898,1,0,1,1,NA
18288,"GreenDB","Water",2019-02-20 00:36:41,"Green","Consumed",2019-02-20 00:02:25,0,NA,2056,0,0,0,2,1
18290,"BrownDB","Water",2019-02-20 00:02:19,"Green","Consumed",2019-02-20 00:02:16,0,NA,3,0,0,1,1,NA
18306,"GreenDB","DB",2019-02-20 00:03:00,"Brown","Dropped",2019-02-20 00:02:48,0,NA,12,1,1,1,1,NA
18306,"GreenDB","DB",2019-02-20 00:03:23,"Green","Consumed",2019-02-20 00:02:48,0,NA,35,0,1,0,2,1
18327,"BrownDB","DB",2019-02-20 00:05:47,"Brown","Consumed",2019-02-20 00:02:41,0,NA,186,0,1,0,1,NA
18329,"BrownDB","Water",2019-02-20 00:03:06,"Brown","Consumed",2019-02-20 00:02:57,0,NA,9,0,0,0,1,NA
18331,"GreenDB","Water",2019-02-20 00:06:00,"Green","Dropped",2019-02-20 00:03:31,0,NA,149,1,0,0,1,NA
18331,"GreenDB","Water",2019-02-20 00:42:16,"Green","Dropped",2019-02-20 00:03:31,0,NA,2325,1,0,0,2,0
18339,"GreenDB","DB",2019-02-20 00:02:51,"Green","Dropped",2019-02-20 00:02:42,0,NA,9,1,1,0,1,NA
18339,"GreenDB","DB",2019-02-20 00:04:26,"Green","Consumed",2019-02-20 00:02:42,0,NA,104,0,1,0,2,0
18341,"BrownDB","DB",2019-02-20 00:03:26,"Brown","Consumed",2019-02-20 00:02:43,0,NA,43,0,1,0,1,NA
18354,"GreenDB","Water",2019-02-20 00:30:07,"Green","Consumed",2019-02-20 00:02:44,0,NA,1643,0,0,0,1,NA
18356,"BrownDB","Water",2019-02-20 00:02:43,"Green","Consumed",2019-02-20 00:02:35,0,NA,8,0,0,1,1,NA
18358,"GreenDB","DB",2019-02-20 00:02:35,"Green","Consumed",2019-02-20 00:02:14,0,NA,21,0,1,0,1,NA
18375,"BrownDB","DB",2019-02-20 00:02:57,"Brown","Dropped",2019-02-20 00:02:04,0,NA,53,1,1,0,1,NA
18375,"BrownDB","DB",2019-02-20 00:04:40,"Green","Consumed",2019-02-20 00:02:04,0,NA,156,0,1,1,2,0
18400,"BrownDB","Water",2019-02-20 00:02:41,"Green","Consumed",2019-02-20 00:02:04,0,NA,37,0,0,1,1,NA
18410,"GreenDB","DB",2019-02-20 00:02:23,"Green","Dropped",2019-02-20 00:02:07,0,NA,16,1,1,0,1,NA
18410,"GreenDB","DB",2019-02-20 01:26:00,"Brown","Dropped",2019-02-20 00:02:07,0,NA,5033,1,1,1,2,0
18410,"GreenDB","DB",2019-02-20 01:26:07,"Brown","Dropped",2019-02-20 00:02:07,0,NA,5040,1,1,1,3,1
18412,"BrownDB","DB",2019-02-20 00:04:29,"Brown","Dropped",2019-02-20 00:02:04,0,NA,145,1,1,0,1,NA
18412,"BrownDB","DB",2019-02-20 00:05:46,"Green","Consumed",2019-02-20 00:02:04,0,NA,222,0,1,1,2,0
18414,"GreenDB","Water",2019-02-20 00:06:24,"Green","Dropped",2019-02-20 00:02:14,0,NA,250,1,0,0,1,NA
18414,"GreenDB","Water",2019-02-20 00:06:27,"Green","Dropped",2019-02-20 00:02:14,0,NA,253,1,0,0,2,0
18414,"GreenDB","Water",2019-02-20 00:07:06,"Brown","Consumed",2019-02-20 00:02:14,0,NA,292,0,0,1,3,0
18416,"BrownDB","Water",2019-02-20 00:02:49,"Green","Consumed",2019-02-20 00:02:05,0,NA,44,0,0,1,1,NA
18442,"GreenDB","DB",2019-02-20 00:03:07,"Green","Dropped",2019-02-20 00:02:10,0,NA,57,1,1,0,1,NA
18442,"GreenDB","DB",2019-02-20 00:04:04,"Brown","Dropped",2019-02-20 00:02:10,0,NA,114,1,1,1,2,0
18442,"GreenDB","DB",2019-02-20 00:35:30,"Brown","Dropped",2019-02-20 00:02:10,0,NA,2000,1,1,1,3,1
18442,"GreenDB","DB",2019-02-20 01:36:26,"Brown","Dropped",2019-02-20 00:02:10,0,NA,5656,1,1,1,4,1
18444,"BrownDB","DB",2019-02-20 00:02:32,"Brown","Consumed",2019-02-20 00:02:16,0,NA,16,0,1,0,1,NA
18453,"GreenDB","Water",2019-02-20 00:03:02,"Green","Dropped",2019-02-20 00:02:03,0,NA,59,1,0,0,1,NA
18453,"GreenDB","Water",2019-02-20 00:04:21,"Brown","Consumed",2019-02-20 00:02:03,0,NA,138,0,0,1,2,0
18455,"BrownDB","Water",2019-02-20 00:02:09,"Green","Consumed",2019-02-20 00:02:04,0,NA,5,0,0,1,1,NA
18461,"GreenDB","DB",2019-02-20 00:02:09,"Brown","Consumed",2019-02-20 00:02:04,0,NA,5,0,1,1,1,NA
18468,"BrownDB","DB",2019-02-20 00:02:13,"Brown","Dropped",2019-02-20 00:02:06,0,NA,7,1,1,0,1,NA
18468,"BrownDB","DB",2019-02-20 00:02:26,"Green","Consumed",2019-02-20 00:02:06,0,NA,20,0,1,1,2,0
18470,"GreenDB","Water",2019-02-20 00:02:33,"Green","Consumed",2019-02-20 00:02:10,0,NA,23,0,0,0,1,NA
18473,"GreenDB","DB",2019-02-20 00:04:11,"Brown","Consumed",2019-02-20 00:03:57,0,NA,14,0,1,1,1,NA
18479,"BrownDB","Water",2019-02-20 00:04:35,"Brown","Consumed",2019-02-20 00:04:15,0,NA,20,0,0,0,1,NA
18489,"BrownDB","DB",2019-02-20 00:04:02,"Green","Consumed",2019-02-20 00:03:53,0,NA,9,0,1,1,1,NA
18500,"GreenDB","Water",2019-02-20 00:02:12,"Green","Dropped",2019-02-20 00:02:07,0,NA,5,1,0,0,1,NA
18500,"GreenDB","Water",2019-02-20 00:02:35,"Green","Consumed",2019-02-20 00:02:07,0,NA,28,0,0,0,2,0
18502,"BrownDB","Water",2019-02-20 00:02:22,"Brown","Dropped",2019-02-20 00:02:02,0,NA,20,1,0,0,1,NA
18502,"BrownDB","Water",2019-02-20 00:04:12,"Green","Consumed",2019-02-20 00:02:02,0,NA,130,0,0,1,2,0
18504,"GreenDB","DB",2019-02-20 00:02:09,"Green","Dropped",2019-02-20 00:02:04,0,NA,5,1,1,0,1,NA
18504,"GreenDB","DB",2019-02-20 00:02:32,"Brown","Consumed",2019-02-20 00:02:04,0,NA,28,0,1,1,2,0
18507,"BrownDB","DB",2019-02-20 00:02:37,"Green","Consumed",2019-02-20 00:02:27,0,NA,10,0,1,1,1,NA
18511,"GreenDB","Water",2019-02-20 00:02:29,"Brown","Consumed",2019-02-20 00:02:14,0,NA,15,0,0,1,1,NA
18515,"BrownDB","Water",2019-02-20 00:02:19,"Brown","Consumed",2019-02-20 00:02:15,0,NA,4,0,0,0,1,NA
18517,"GreenDB","DB",2019-02-20 00:02:04,"Green","Consumed",2019-02-20 00:02:03,0,NA,1,0,1,0,1,NA
18519,"BrownDB","DB",2019-02-20 00:02:05,"Brown","Dropped",2019-02-20 00:02:02,0,NA,3,1,1,0,1,NA
18519,"BrownDB","DB",2019-02-20 00:02:38,"Brown","Consumed",2019-02-20 00:02:02,0,NA,36,0,1,0,2,0
18523,"GreenDB","Water",2019-02-20 00:02:26,"Green","Consumed",2019-02-20 00:02:03,0,NA,23,0,0,0,1,NA
18525,"BrownDB","Water",2019-02-20 00:02:57,"Brown","Dropped",2019-02-20 00:02:13,0,NA,44,1,0,0,1,NA
18525,"BrownDB","Water",2019-02-20 00:03:19,"Green","Consumed",2019-02-20 00:02:13,0,NA,66,0,0,1,2,0
18527,"GreenDB","DB",2019-02-20 00:02:13,"Brown","Consumed",2019-02-20 00:02:02,0,NA,11,0,1,1,1,NA
18529,"BrownDB","DB",2019-02-20 00:02:15,"Brown","Consumed",2019-02-20 00:02:04,0,NA,11,0,1,0,1,NA
18535,"GreenDB","Water",2019-02-20 00:02:16,"Brown","Consumed",2019-02-20 00:02:06,0,NA,10,0,0,1,1,NA
18545,"BrownDB","Water",2019-02-20 00:02:24,"Brown","Dropped",2019-02-20 00:02:02,0,NA,22,1,0,0,1,NA
18545,"BrownDB","Water",2019-02-20 00:02:28,"Brown","Dropped",2019-02-20 00:02:02,0,NA,26,1,0,0,2,0
18545,"BrownDB","Water",2019-02-20 00:03:31,"Green","Consumed",2019-02-20 00:02:02,0,NA,89,0,0,1,3,0
18546,"GreenDB","DB",2019-02-20 00:02:20,"Green","Dropped",2019-02-20 00:02:02,0,NA,18,1,1,0,1,NA
18546,"GreenDB","DB",2019-02-20 00:02:21,"Green","Dropped",2019-02-20 00:02:02,0,NA,19,1,1,0,2,0
18546,"GreenDB","DB",2019-02-20 00:03:35,"Green","Dropped",2019-02-20 00:02:02,0,NA,93,1,1,0,3,0
18546,"GreenDB","DB",2019-02-20 00:04:29,"Green","Consumed",2019-02-20 00:02:02,0,NA,147,0,1,0,4,0
18548,"BrownDB","DB",2019-02-20 00:03:23,"Green","Consumed",2019-02-20 00:02:52,0,NA,31,0,1,1,1,NA
18550,"GreenDB","Water",2019-02-20 00:03:07,"Brown","Consumed",2019-02-20 00:02:48,0,NA,19,0,0,1,1,NA
18552,"BrownDB","Water",2019-02-20 00:03:43,"Green","Dropped",2019-02-20 00:02:44,0,NA,59,1,0,1,1,NA
18552,"BrownDB","Water",2019-02-20 00:03:53,"Green","Consumed",2019-02-20 00:02:44,0,NA,69,0,0,1,2,1
18554,"GreenDB","DB",2019-02-20 00:03:15,"Brown","Consumed",2019-02-20 00:02:42,0,NA,33,0,1,1,1,NA
18557,"BrownDB","DB",2019-02-20 00:02:41,"Green","Consumed",2019-02-20 00:02:32,0,NA,9,0,1,1,1,NA
18559,"GreenDB","Water",2019-02-20 00:03:12,"Green","Consumed",2019-02-20 00:02:27,0,NA,45,0,0,0,1,NA
18561,"BrownDB","Water",2019-02-20 00:05:05,"Brown","Dropped",2019-02-20 00:04:58,0,NA,7,1,0,0,1,NA
18561,"BrownDB","Water",2019-02-20 00:06:26,"Green","Consumed",2019-02-20 00:04:58,0,NA,88,0,0,1,2,0
18563,"GreenDB","DB",2019-02-20 00:04:48,"Green","Dropped",2019-02-20 00:04:42,0,NA,6,1,1,0,1,NA
18563,"GreenDB","DB",2019-02-20 00:06:59,"Green","Dropped",2019-02-20 00:04:42,0,NA,137,1,1,0,2,0
18563,"GreenDB","DB",2019-02-20 00:07:47,"Brown","Consumed",2019-02-20 00:04:42,0,NA,185,0,1,1,3,0
18567,"BrownDB","DB",2019-02-20 00:05:00,"Brown","Dropped",2019-02-20 00:04:37,0,NA,23,1,1,0,1,NA
18567,"BrownDB","DB",2019-02-20 00:07:30,"Brown","Consumed",2019-02-20 00:04:37,0,NA,173,0,1,0,2,0
18575,"GreenDB","Water",2019-02-20 00:05:35,"Brown","Dropped",2019-02-20 00:04:36,0,NA,59,1,0,1,1,NA
18575,"GreenDB","Water",2019-02-20 00:06:49,"Green","Dropped",2019-02-20 00:04:36,0,NA,133,1,0,0,2,1
18575,"GreenDB","Water",2019-02-20 00:14:03,"Brown","Dropped",2019-02-20 00:04:36,0,NA,567,1,0,1,3,0
18575,"GreenDB","Water",2019-02-20 00:18:38,"Green","Dropped",2019-02-20 00:04:36,0,NA,842,1,0,0,4,1
18575,"GreenDB","Water",2019-02-20 00:35:38,"Green","Dropped",2019-02-20 00:04:36,0,NA,1862,1,0,0,5,0
18575,"GreenDB","Water",2019-02-20 00:49:27,"Green","Dropped",2019-02-20 00:04:36,0,NA,2691,1,0,0,6,0
18575,"GreenDB","Water",2019-02-20 01:57:41,"Brown","Dropped",2019-02-20 00:04:36,0,NA,6785,1,0,1,7,0
18577,"BrownDB","Water",2019-02-20 00:04:30,"Green","Consumed",2019-02-20 00:04:28,0,NA,2,0,0,1,1,NA
