"FID","SubGroupName","GroupName","AttackTime","ColorCode","Outcome","VideoTimeStart","ExcludeYN","ReasonExclusion","AttackedColor","Fate","DropYN","PriorExposureYN","DelayToAttack","AttackedPalatability","AttackedPalatabilityTreatment","AttackNb","PrevPalatabality"
18611,"BrownDB","DB",2019-03-21 00:03:17,2,1,2019-03-21 00:02:33,0,NA,"Brown","Consumed",0,"1",44,0,"DB",1,NA
18612,"BrownDB","Water",2019-03-21 00:02:54,1,1,2019-03-21 00:02:46,0,NA,"Green","Consumed",0,"0",8,1,"Control",1,NA
18613,"GreenDB","DB",2019-03-21 00:03:26,2,1,2019-03-21 00:02:51,0,NA,"Brown","Consumed",0,"1",35,1,"Control",1,NA
18614,"GreenDB","Water",2019-03-21 00:06:07,1,-1,2019-03-21 00:04:27,0,NA,"Green","Rejected",1,"0",100,0,"DB",1,NA
18614,"GreenDB","Water",2019-03-21 00:08:22,2,1,2019-03-21 00:04:27,0,NA,"Brown","Consumed",0,"0",235,1,"Control",2,0
18615,"BrownDB","DB",2019-03-21 00:04:44,2,1,2019-03-21 00:04:35,0,NA,"Brown","Consumed",0,"1",9,0,"DB",1,NA
18616,"BrownDB","Water",2019-03-21 00:08:27,1,1,2019-03-21 00:05:13,0,NA,"Green","Consumed",0,"0",194,1,"Control",1,NA
18617,"GreenDB","DB",2019-03-21 00:39:15,2,-1,2019-03-21 00:02:21,0,NA,"Brown","Rejected",1,"1",2214,1,"Control",1,NA
18617,"GreenDB","DB",2019-03-21 00:39:20,2,1,2019-03-21 00:02:21,0,NA,"Brown","Consumed",0,"1",2219,1,"Control",2,1
18618,"GreenDB","Water",2019-03-21 00:02:58,2,-1,2019-03-21 00:02:49,0,NA,"Brown","Rejected",1,"0",9,1,"Control",1,NA
18618,"GreenDB","Water",2019-03-21 00:03:07,2,1,2019-03-21 00:02:49,0,NA,"Brown","Consumed",0,"0",18,1,"Control",2,1
18619,"BrownDB","DB",2019-03-21 01:40:41,1,-1,2019-03-21 00:07:22,0,NA,"Green","Rejected",1,"1",5599,1,"Control",1,NA
18620,"BrownDB","Water",2019-03-21 00:02:20,2,1,2019-03-21 00:02:20,0,NA,"Brown","Consumed",0,"0",0,0,"DB",1,NA
18621,"GreenDB","DB",2019-03-21 00:03:24,1,-1,2019-03-21 00:03:14,0,NA,"Green","Rejected",1,"1",10,0,"DB",1,NA
18621,"GreenDB","DB",2019-03-21 00:05:52,2,1,2019-03-21 00:03:14,0,NA,"Brown","Consumed",0,"1",158,1,"Control",2,0
18622,"GreenDB","Water",2019-03-21 00:03:06,1,-1,2019-03-21 00:02:58,0,NA,"Green","Rejected",1,"0",8,0,"DB",1,NA
18622,"GreenDB","Water",2019-03-21 00:03:40,1,-1,2019-03-21 00:02:58,0,NA,"Green","Rejected",1,"0",42,0,"DB",2,0
18622,"GreenDB","Water",2019-03-21 00:04:49,2,1,2019-03-21 00:02:58,0,NA,"Brown","Consumed",0,"0",111,1,"Control",3,0
18623,"BrownDB","DB",2019-03-21 00:15:06,1,1,2019-03-21 00:00:00,0,NA,"Green","Consumed",0,"1",906,1,"Control",1,NA
18624,"BrownDB","Water",2019-03-21 00:03:06,2,1,2019-03-21 00:02:30,0,NA,"Brown","Consumed",0,"0",36,0,"DB",1,NA
18625,"GreenDB","DB",2019-03-21 00:03:39,1,1,2019-03-21 00:03:11,0,NA,"Green","Consumed",0,"1",28,0,"DB",1,NA
18626,"GreenDB","Water",2019-03-21 00:03:35,2,-1,2019-03-21 00:03:12,0,NA,"Brown","Rejected",1,"0",23,1,"Control",1,NA
18626,"GreenDB","Water",2019-03-21 00:04:00,1,1,2019-03-21 00:03:12,0,NA,"Green","Consumed",0,"0",48,0,"DB",2,1
18627,"BrownDB","DB",2019-03-21 00:05:15,2,1,2019-03-21 00:03:26,0,NA,"Brown","Consumed",0,"1",109,0,"DB",1,NA
18628,"BrownDB","Water",2019-03-21 00:07:19,1,-1,2019-03-21 00:04:40,0,NA,"Green","Rejected",1,"0",159,1,"Control",1,NA
18628,"BrownDB","Water",2019-03-21 00:07:21,1,1,2019-03-21 00:04:40,0,NA,"Green","Consumed",0,"0",161,1,"Control",2,1
18629,"GreenDB","DB",2019-03-21 00:02:15,2,1,2019-03-21 00:02:08,0,NA,"Brown","Consumed",0,"1",7,1,"Control",1,NA
18631,"BrownDB","DB",2019-03-21 00:03:10,1,1,2019-03-21 00:02:46,0,NA,"Green","Consumed",0,"1",24,1,"Control",1,NA
18633,"GreenDB","DB",2019-03-21 00:02:58,1,1,2019-03-21 00:02:53,0,NA,"Green","Consumed",0,"1",5,0,"DB",1,NA
18634,"GreenDB","Water",2019-03-21 00:03:10,1,-1,2019-03-21 00:02:25,0,NA,"Green","Rejected",1,"0",45,0,"DB",1,NA
18634,"GreenDB","Water",2019-03-21 00:03:14,2,1,2019-03-21 00:02:25,0,NA,"Brown","Consumed",0,"0",49,1,"Control",2,0
18635,"BrownDB","DB",2019-03-21 00:08:12,2,-1,2019-03-21 00:02:22,0,NA,"Brown","Rejected",1,"1",350,0,"DB",1,NA
18635,"BrownDB","DB",2019-03-21 00:22:47,1,1,2019-03-21 00:02:22,0,NA,"Green","Consumed",0,"1",1225,1,"Control",2,0
18636,"BrownDB","Water",2019-03-21 00:03:36,2,-1,2019-03-21 00:02:30,0,NA,"Brown","Rejected",1,"0",66,0,"DB",1,NA
18636,"BrownDB","Water",2019-03-21 00:03:55,2,1,2019-03-21 00:02:30,0,NA,"Brown","Consumed",0,"0",85,0,"DB",2,0
18637,"GreenDB","DB",2019-03-21 00:03:12,1,1,2019-03-21 00:02:31,0,NA,"Green","Consumed",0,"1",41,0,"DB",1,NA
18638,"GreenDB","Water",2019-03-21 00:03:23,2,1,2019-03-21 00:02:27,0,NA,"Brown","Consumed",0,"0",56,1,"Control",1,NA
18639,"BrownDB","DB",2019-03-21 00:05:04,1,1,2019-03-21 00:02:26,0,NA,"Green","Consumed",0,"1",158,1,"Control",1,NA
18640,"BrownDB","Water",2019-03-21 00:03:10,1,1,2019-03-21 00:03:04,0,NA,"Green","Consumed",0,"0",6,1,"Control",1,NA
18641,"GreenDB","DB",2019-03-21 00:05:54,1,-1,2019-03-21 00:02:56,0,NA,"Green","Rejected",1,"1",178,0,"DB",1,NA
18641,"GreenDB","DB",2019-03-21 00:06:19,1,-1,2019-03-21 00:02:56,0,NA,"Green","Rejected",1,"1",203,0,"DB",2,0
18641,"GreenDB","DB",2019-03-21 00:06:34,1,-1,2019-03-21 00:02:56,0,NA,"Green","Rejected",1,"1",218,0,"DB",3,0
18641,"GreenDB","DB",2019-03-21 00:06:39,1,-1,2019-03-21 00:02:56,0,NA,"Green","Rejected",1,"1",223,0,"DB",4,0
18641,"GreenDB","DB",2019-03-21 00:07:05,1,-1,2019-03-21 00:02:56,0,NA,"Green","Rejected",1,"1",249,0,"DB",5,0
18641,"GreenDB","DB",2019-03-21 00:07:49,1,1,2019-03-21 00:02:56,0,NA,"Green","Consumed",0,"1",293,0,"DB",6,0
18642,"GreenDB","Water",2019-03-21 00:04:24,1,-1,2019-03-21 00:02:47,0,NA,"Green","Rejected",1,"0",97,0,"DB",1,NA
18642,"GreenDB","Water",2019-03-21 00:07:12,1,-1,2019-03-21 00:02:47,0,NA,"Green","Rejected",1,"0",265,0,"DB",2,0
18642,"GreenDB","Water",2019-03-21 00:43:42,1,-1,2019-03-21 00:02:47,0,NA,"Green","Rejected",1,"0",2455,0,"DB",3,0
18642,"GreenDB","Water",2019-03-21 01:18:18,2,1,2019-03-21 00:02:47,0,NA,"Brown","Consumed",0,"0",4531,1,"Control",4,0
18643,"BrownDB","DB",2019-03-21 00:47:23,1,1,2019-03-21 00:03:29,0,NA,"Green","Consumed",0,"1",2634,1,"Control",1,NA
18644,"BrownDB","Water",2019-03-21 00:02:23,1,1,2019-03-21 00:02:13,0,NA,"Green","Consumed",0,"0",10,1,"Control",1,NA
18645,"GreenDB","DB",2019-03-21 00:02:30,1,-1,2019-03-21 00:02:22,0,NA,"Green","Rejected",1,"1",8,0,"DB",1,NA
18645,"GreenDB","DB",2019-03-21 00:03:03,1,1,2019-03-21 00:02:22,0,NA,"Green","Consumed",0,"1",41,0,"DB",2,0
18646,"GreenDB","Water",2019-03-21 00:03:00,1,1,2019-03-21 00:02:29,0,NA,"Green","Consumed",0,"0",31,0,"DB",1,NA
18647,"BrownDB","DB",2019-03-21 00:03:29,2,1,2019-03-21 00:02:32,0,NA,"Brown","Consumed",0,"1",57,0,"DB",1,NA
18648,"BrownDB","Water",2019-03-21 00:03:24,1,1,2019-03-21 00:02:28,0,NA,"Green","Consumed",0,"0",56,1,"Control",1,NA
18649,"GreenDB","DB",2019-03-21 00:07:08,2,1,2019-03-21 00:02:39,0,NA,"Brown","Consumed",0,"1",269,1,"Control",1,NA
18651,"BrownDB","DB",2019-03-21 00:03:26,1,1,2019-03-21 00:03:07,0,NA,"Green","Consumed",0,"1",19,1,"Control",1,NA
18652,"BrownDB","Water",2019-03-21 00:03:15,1,1,2019-03-21 00:03:05,0,NA,"Green","Consumed",0,"0",10,1,"Control",1,NA
18653,"GreenDB","DB",2019-03-21 00:03:56,2,1,2019-03-21 00:03:14,0,NA,"Brown","Consumed",0,"1",42,1,"Control",1,NA
18654,"GreenDB","Water",2019-03-21 00:04:19,1,-1,2019-03-21 00:03:09,0,NA,"Green","Rejected",1,"0",70,0,"DB",1,NA
18654,"GreenDB","Water",2019-03-21 00:04:55,1,-1,2019-03-21 00:03:09,0,NA,"Green","Rejected",1,"0",106,0,"DB",2,0
18654,"GreenDB","Water",2019-03-21 00:05:19,1,-1,2019-03-21 00:03:09,0,NA,"Green","Rejected",1,"0",130,0,"DB",3,0
18654,"GreenDB","Water",2019-03-21 00:06:06,2,1,2019-03-21 00:03:09,0,NA,"Brown","Consumed",0,"0",177,1,"Control",4,0
18655,"BrownDB","DB",2019-03-21 00:03:19,2,1,2019-03-21 00:03:03,0,NA,"Brown","Consumed",0,"1",16,0,"DB",1,NA
18655,"BrownDB","DB",2019-03-21 00:04:16,2,1,2019-03-21 00:03:03,0,NA,"Brown","Consumed",0,"1",73,0,"DB",2,0
18656,"BrownDB","Water",2019-03-21 01:06:40,1,-1,2019-03-21 00:03:09,0,NA,"Green","Rejected",1,"0",3811,1,"Control",1,NA
18657,"GreenDB","DB",2019-03-21 00:10:07,2,1,2019-03-21 00:03:18,0,NA,"Brown","Consumed",0,"1",409,1,"Control",1,NA
18658,"GreenDB","Water",2019-03-21 00:04:52,1,-1,2019-03-21 00:03:00,0,NA,"Green","Rejected",1,"0",112,0,"DB",1,NA
18658,"GreenDB","Water",2019-03-21 00:05:15,2,1,2019-03-21 00:03:00,0,NA,"Brown","Consumed",0,"0",135,1,"Control",2,0
18659,"BrownDB","DB",2019-03-21 00:03:36,2,-1,2019-03-21 00:03:02,0,NA,"Brown","Rejected",1,"1",34,0,"DB",1,NA
18659,"BrownDB","DB",2019-03-21 00:04:19,2,1,2019-03-21 00:03:02,0,NA,"Brown","Consumed",0,"1",77,0,"DB",2,0
18660,"BrownDB","Water",2019-03-21 00:05:07,1,1,2019-03-21 00:02:59,0,NA,"Green","Consumed",0,"0",128,1,"Control",1,NA
18661,"GreenDB","DB",2019-03-21 00:42:10,2,1,2019-03-21 00:02:51,0,NA,"Brown","Consumed",0,"1",2359,1,"Control",1,NA
18662,"GreenDB","Water",2019-03-21 00:03:29,2,-1,2019-03-21 00:03:01,0,NA,"Brown","Rejected",1,"0",28,1,"Control",1,NA
18662,"GreenDB","Water",2019-03-21 00:03:50,1,-1,2019-03-21 00:03:01,0,NA,"Green","Rejected",1,"0",49,0,"DB",2,1
18662,"GreenDB","Water",2019-03-21 00:05:15,2,1,2019-03-21 00:03:01,0,NA,"Brown","Consumed",0,"0",134,1,"Control",3,0
18663,"BrownDB","DB",2019-03-21 00:02:25,2,1,2019-03-21 00:02:19,0,NA,"Brown","Consumed",0,"1",6,0,"DB",1,NA
18664,"BrownDB","Water",2019-03-21 00:03:00,1,1,2019-03-21 00:02:33,0,NA,"Green","Consumed",0,"0",27,1,"Control",1,NA
18665,"GreenDB","DB",2019-03-21 00:12:58,1,-1,2019-03-21 00:02:35,0,NA,"Green","Rejected",1,"1",623,0,"DB",1,NA
18665,"GreenDB","DB",2019-03-21 01:18:56,1,-1,2019-03-21 00:02:35,0,NA,"Green","Rejected",1,"1",4581,0,"DB",2,0
18666,"GreenDB","Water",2019-03-21 00:02:44,1,-1,2019-03-21 00:02:31,0,NA,"Green","Rejected",1,"0",13,0,"DB",1,NA
18666,"GreenDB","Water",2019-03-21 00:03:16,2,1,2019-03-21 00:02:31,0,NA,"Brown","Consumed",0,"0",45,1,"Control",2,0
18667,"BrownDB","DB",2019-03-21 00:02:29,2,-1,2019-03-21 00:02:24,0,NA,"Brown","Rejected",1,"1",5,0,"DB",1,NA
18667,"BrownDB","DB",2019-03-21 00:02:55,1,1,2019-03-21 00:02:24,0,NA,"Green","Consumed",0,"1",31,1,"Control",2,0
18668,"BrownDB","Water",2019-03-21 00:02:20,2,-1,2019-03-21 00:02:15,0,NA,"Brown","Rejected",1,"0",5,0,"DB",1,NA
18668,"BrownDB","Water",2019-03-21 00:03:49,1,1,2019-03-21 00:02:15,0,NA,"Green","Consumed",0,"0",94,1,"Control",2,0
18669,"GreenDB","DB",2019-03-21 00:05:52,2,1,2019-03-21 00:02:21,0,NA,"Brown","Consumed",0,"1",211,1,"Control",1,NA
18670,"GreenDB","Water",2019-03-21 00:04:15,2,1,2019-03-21 00:02:32,0,NA,"Brown","Consumed",0,"0",103,1,"Control",1,NA
18671,"BrownDB","DB",2019-03-21 00:05:41,1,1,2019-03-21 00:02:54,0,NA,"Green","Consumed",0,"1",167,1,"Control",1,NA
18672,"BrownDB","Water",2019-03-21 00:02:40,2,-1,2019-03-21 00:02:16,0,NA,"Brown","Rejected",1,"0",24,0,"DB",1,NA
18672,"BrownDB","Water",2019-03-21 00:03:00,1,1,2019-03-21 00:02:16,0,NA,"Green","Consumed",0,"0",44,1,"Control",2,0
18673,"GreenDB","DB",2019-03-21 00:03:27,1,-1,2019-03-21 00:02:28,0,NA,"Green","Rejected",1,"1",59,0,"DB",1,NA
18673,"GreenDB","DB",2019-03-21 00:03:45,1,1,2019-03-21 00:02:28,0,NA,"Green","Consumed",0,"1",77,0,"DB",2,0
18674,"BrownDB","Water",2019-03-21 00:03:22,2,1,2019-03-21 00:03:11,0,NA,"Brown","Consumed",0,"0",11,0,"DB",1,NA
18675,"GreenDB","Water",2019-03-21 00:03:59,2,1,2019-03-21 00:02:24,0,NA,"Brown","Consumed",0,"0",95,1,"Control",1,NA
18676,"BrownDB","DB",2019-03-21 00:02:23,1,1,2019-03-21 00:02:20,0,NA,"Green","Consumed",0,"1",3,1,"Control",1,NA
18677,"BrownDB","Water",2019-03-21 00:02:20,2,-1,2019-03-21 00:02:09,0,NA,"Brown","Rejected",1,"0",11,0,"DB",1,NA
18677,"BrownDB","Water",2019-03-21 00:03:01,1,-1,2019-03-21 00:02:09,0,NA,"Green","Rejected",1,"0",52,1,"Control",2,0
18677,"BrownDB","Water",2019-03-21 00:04:59,1,-1,2019-03-21 00:02:09,0,NA,"Green","Rejected",1,"0",170,1,"Control",3,1
18677,"BrownDB","Water",2019-03-21 00:06:24,2,1,2019-03-21 00:02:09,0,NA,"Brown","Consumed",0,"0",255,0,"DB",4,1
18678,"GreenDB","DB",2019-03-21 00:03:28,1,1,2019-03-21 00:02:42,0,NA,"Green","Consumed",0,"1",46,0,"DB",1,NA
18679,"GreenDB","Water",2019-03-21 00:03:05,1,1,2019-03-21 00:03:03,0,NA,"Green","Consumed",0,"0",2,0,"DB",1,NA
18680,"GreenDB","Water",2019-03-21 00:03:16,2,1,2019-03-21 00:02:55,0,NA,"Brown","Consumed",0,"0",21,1,"Control",1,NA
18681,"BrownDB","DB",2019-03-21 00:18:38,1,1,2019-03-21 00:02:54,0,NA,"Green","Consumed",0,"1",944,1,"Control",1,NA
18682,"BrownDB","Water",2019-03-21 00:03:10,2,1,2019-03-21 00:03:00,0,NA,"Brown","Consumed",0,"0",10,0,"DB",1,NA
18683,"BrownDB","Water",2019-03-21 00:02:54,1,-1,2019-03-21 00:02:53,0,NA,"Green","Rejected",1,"0",1,1,"Control",1,NA
18683,"BrownDB","Water",2019-03-21 00:03:30,1,1,2019-03-21 00:02:53,0,NA,"Green","Consumed",0,"0",37,1,"Control",2,1
18684,"GreenDB","DB",2019-03-21 00:02:59,1,-1,2019-03-21 00:02:49,0,NA,"Green","Rejected",1,"1",10,0,"DB",1,NA
18684,"GreenDB","DB",2019-03-21 00:04:59,1,-1,2019-03-21 00:02:49,0,NA,"Green","Rejected",1,"1",130,0,"DB",2,0
18684,"GreenDB","DB",2019-03-21 00:05:08,1,1,2019-03-21 00:02:49,0,NA,"Green","Consumed",0,"1",139,0,"DB",3,0
18685,"GreenDB","Water",2019-03-21 00:02:45,1,1,2019-03-21 00:02:39,0,NA,"Green","Consumed",0,"0",6,0,"DB",1,NA
18686,"BrownDB","DB",2019-03-21 00:02:06,2,1,2019-03-21 00:02:04,0,NA,"Brown","Consumed",0,"1",2,0,"DB",1,NA
18696,"GreenDB","Water",2019-03-21 00:15:38,2,1,2019-03-21 00:02:58,0,NA,"Brown","Consumed",0,"0",760,1,"Control",1,NA
18703,"BrownDB","Water",2019-03-21 00:02:19,2,1,2019-03-21 00:02:04,0,NA,"Brown","Consumed",0,"0",15,0,"DB",1,NA
