"FID","SubGroupName","GroupName","AttackTime","ColorCode","Outcome","VideoTimeStart","ExcludeYN","ReasonExclusion","AttackedColor","Fate","DropYN","DelayToAttack","AttackedPalatability","AttackedPalatabilityTreatment","PriorExposureYN","PriorExposure","PalatExpo","AttackNb","PrevPalatabality"
18545,"BrownDB","Water",2019-03-22 00:03:31,1,1,2019-03-22 00:02:02,0,NA,"Green","Consumed",0,89,1,"Control","0","Naive","Naive",3,0
18546,"GreenDB","DB",2019-03-22 00:02:20,1,-1,2019-03-22 00:02:02,0,NA,"Green","Rejected",1,18,0,"DB","1","Trained","Trained",1,NA
18546,"GreenDB","DB",2019-03-22 00:02:21,1,-1,2019-03-22 00:02:02,0,NA,"Green","Rejected",1,19,0,"DB","1","Trained","Trained",2,0
18546,"GreenDB","DB",2019-03-22 00:03:35,1,-1,2019-03-22 00:02:02,0,NA,"Green","Rejected",1,93,0,"DB","1","Trained","Trained",3,0
18546,"GreenDB","DB",2019-03-22 00:04:29,1,1,2019-03-22 00:02:02,0,NA,"Green","Consumed",0,147,0,"DB","1","Trained","Trained",4,0
18548,"BrownDB","DB",2019-03-22 00:03:23,1,1,2019-03-22 00:02:52,0,NA,"Green","Consumed",0,31,1,"Control","1","Trained","Trained",1,NA
18550,"GreenDB","Water",2019-03-22 00:03:07,2,1,2019-03-22 00:02:48,0,NA,"Brown","Consumed",0,19,1,"Control","0","Naive","Naive",1,NA
18552,"BrownDB","Water",2019-03-22 00:03:43,1,-1,2019-03-22 00:02:44,0,NA,"Green","Rejected",1,59,1,"Control","0","Naive","Naive",1,NA
18552,"BrownDB","Water",2019-03-22 00:03:53,1,1,2019-03-22 00:02:44,0,NA,"Green","Consumed",0,69,1,"Control","0","Naive","Naive",2,1
18554,"GreenDB","DB",2019-03-22 00:03:15,2,1,2019-03-22 00:02:42,0,NA,"Brown","Consumed",0,33,1,"Control","1","Trained","Trained",1,NA
18557,"BrownDB","DB",2019-03-22 00:02:41,1,1,2019-03-22 00:02:32,0,NA,"Green","Consumed",0,9,1,"Control","1","Trained","Trained",1,NA
18559,"GreenDB","Water",2019-03-22 00:03:12,1,1,2019-03-22 00:02:27,0,NA,"Green","Consumed",0,45,0,"DB","0","Naive","Naive",1,NA
18561,"BrownDB","Water",2019-03-22 00:05:05,2,-1,2019-03-22 00:04:58,0,NA,"Brown","Rejected",1,7,0,"DB","0","Naive","Naive",1,NA
18561,"BrownDB","Water",2019-03-22 00:06:26,1,1,2019-03-22 00:04:58,0,NA,"Green","Consumed",0,88,1,"Control","0","Naive","Naive",2,0
18563,"GreenDB","DB",2019-03-22 00:04:48,1,-1,2019-03-22 00:04:42,0,NA,"Green","Rejected",1,6,0,"DB","1","Trained","Trained",1,NA
18563,"GreenDB","DB",2019-03-22 00:06:59,1,-1,2019-03-22 00:04:42,0,NA,"Green","Rejected",1,137,0,"DB","1","Trained","Trained",2,0
